,Aircraft,Type Of Traveller,Trip Verified,Seat Type,Route,Date Flown,Seat Comfort,Cabin Staff Service,Food & Beverages,Inflight Entertainment,Ground Service,Value For Money,Wifi & Connectivity,Recommended
400,NA,Solo Leisure,Yes,Economy Class,Del Carme Siago to Denpasar via Manila,2022-10-01,5.0,5.0,0.0,0.0,2.0,2,0.0,no
401,NA,Couple Leisure,Yes,Economy Class,Manila to Tagbilaran ,2022-10-01,4.0,4.0,1.0,0.0,3.0,1,0.0,no
402,Boeing 777,Couple Leisure,No,Economy Class,Los Angeles to Manila,2022-09-01,1.0,3.0,1.0,1.0,2.0,1,1.0,no
403,Boeing 777,Solo Leisure,Yes,Business Class,Vancouver to Bangkok via Manila,2022-10-01,2.0,4.0,3.0,1.0,1.0,2,1.0,no
404,NA,Couple Leisure,Yes,Economy Class,Manila to Vancouver,2022-09-01,2.0,3.0,3.0,1.0,3.0,2,3.0,no
405,NA,Couple Leisure,Yes,Economy Class,Vancouver to Manila,2019-12-01,1.0,1.0,1.0,0.0,1.0,1,0.0,no
406,A321-200 Neo,Business,Yes,Economy Class,Manila to Nagoya,2020-02-01,5.0,4.0,3.0,5.0,5.0,4,0.0,yes
407,NA,Solo Leisure,Yes,Economy Class,Manila to London,2020-02-01,4.0,5.0,5.0,5.0,5.0,5,0.0,yes
408,NA,Solo Leisure,Yes,Economy Class,Tokyo to Bali via Manila,2020-02-01,2.0,3.0,3.0,0.0,1.0,2,0.0,no
409,A322,Solo Leisure,Yes,Premium Economy,NA,2020-02-01,4.0,5.0,5.0,1.0,5.0,5,0.0,yes
410,A321,Family Leisure,Yes,Economy Class,Manila to Tokyo Narita,2020-01-01,4.0,5.0,4.0,2.0,3.0,4,0.0,yes
411,NA,Solo Leisure,Yes,Economy Class,Manila to Dammam,2019-07-01,1.0,1.0,1.0,0.0,1.0,1,0.0,no
412,A350-900,Solo Leisure,Yes,Business Class,Manila to Toronto,2019-08-01,5.0,5.0,5.0,5.0,4.0,5,5.0,yes
413,NA,Solo Leisure,Yes,Economy Class,Auckland to Osaka via Manila,2020-01-01,0.0,0.0,0.0,0.0,1.0,1,0.0,no
414,NA,Solo Leisure,Yes,Business Class,Manila to Melbourne,2022-11-01,0.0,0.0,0.0,0.0,1.0,1,0.0,no
415,A321 / A330,Couple Leisure,Yes,Business Class,Singapore to Melbourne via Manila,2022-10-01,2.0,3.0,2.0,2.0,1.0,3,0.0,no
416,NA,Couple Leisure,Yes,Economy Class,Los Angeles to Manila,2022-04-01,0.0,0.0,0.0,0.0,0.0,3,0.0,no
417,NA,Solo Leisure,No,Economy Class,Manila to San Francisco,2022-11-01,1.0,1.0,1.0,1.0,1.0,1,1.0,no
418,NA,Family Leisure,Yes,Economy Class,Canada to Philippines,2022-11-01,3.0,3.0,3.0,3.0,1.0,1,3.0,no
419,NA,Couple Leisure,Yes,Economy Class,Hanoi to Manila,2022-11-01,4.0,4.0,4.0,0.0,4.0,2,0.0,no
420,NA,Solo Leisure,Yes,Economy Class,Manila via Los Angeles,2022-11-01,3.0,3.0,2.0,3.0,1.0,3,0.0,no
421,NA,Business,Yes,Economy Class,Manila to Los Angeles,2022-10-01,2.0,1.0,1.0,1.0,4.0,1,1.0,no
422,NA,Solo Leisure,Yes,Economy Class,Davao to San Francisco via Manila,2022-11-01,3.0,3.0,1.0,0.0,1.0,3,0.0,no
423,NA,Solo Leisure,Yes,Business Class,Manila to Melbourne,2022-11-01,0.0,0.0,0.0,0.0,1.0,1,0.0,no
424,A321 / A330,Couple Leisure,Yes,Business Class,Singapore to Melbourne via Manila,2022-10-01,2.0,3.0,2.0,2.0,1.0,3,0.0,no
425,NA,Couple Leisure,Yes,Economy Class,Los Angeles to Manila,2022-04-01,0.0,0.0,0.0,0.0,0.0,3,0.0,no
426,NA,Solo Leisure,No,Economy Class,Manila to San Francisco,2022-11-01,1.0,1.0,1.0,1.0,1.0,1,1.0,no
427,NA,Family Leisure,Yes,Economy Class,Canada to Philippines,2022-11-01,3.0,3.0,3.0,3.0,1.0,1,3.0,no
428,NA,Couple Leisure,Yes,Economy Class,Hanoi to Manila,2022-11-01,4.0,4.0,4.0,0.0,4.0,2,0.0,no
429,NA,Solo Leisure,Yes,Economy Class,Manila via Los Angeles,2022-11-01,3.0,3.0,2.0,3.0,1.0,3,0.0,no
430,NA,Business,Yes,Economy Class,Manila to Los Angeles,2022-10-01,2.0,1.0,1.0,1.0,4.0,1,1.0,no
431,NA,Solo Leisure,Yes,Economy Class,Davao to San Francisco via Manila,2022-11-01,3.0,3.0,1.0,0.0,1.0,3,0.0,no
432,NA,Solo Leisure,Yes,Business Class,Bangkok to Manila,2022-05-01,2.0,5.0,4.0,1.0,1.0,1,1.0,no
433,NA,Family Leisure,Yes,Economy Class,Bangkok to San Francisco via Manila,2022-04-01,1.0,2.0,2.0,2.0,1.0,2,1.0,no
434,NA,Solo Leisure,Yes,Economy Class,Ho Chi Minh City to San Francisco via Manila,2022-05-01,1.0,1.0,1.0,1.0,1.0,1,1.0,no
435,A330,Solo Leisure,Yes,Economy Class,Riyadh to Manila,2022-04-01,4.0,5.0,4.0,0.0,5.0,5,0.0,yes
436,NA,Solo Leisure,Yes,Economy Class,Dubai to Manila,2021-05-01,0.0,0.0,0.0,0.0,0.0,1,0.0,no
437,NA,Family Leisure,Yes,Economy Class,Sydney to Manila,2021-05-01,0.0,0.0,0.0,0.0,0.0,1,0.0,no
438,NA,Family Leisure,Yes,Economy Class,Manila to Fukuoka,2020-03-01,0.0,0.0,0.0,0.0,0.0,1,0.0,no
439,A321,Solo Leisure,No,Economy Class,Singapore to Manila,2022-03-01,1.0,3.0,2.0,0.0,1.0,1,0.0,no
440,NA,Family Leisure,Yes,Economy Class,Brisbane to Manila,2022-03-01,0.0,0.0,0.0,0.0,0.0,3,0.0,no
441,A330,Business,Yes,Economy Class,Sydney to Hong Kong via Manila,2022-11-01,4.0,5.0,4.0,5.0,5.0,5,2.0,yes
442,NA,Family Leisure,No,Economy Class,Manila to Dubai,2022-10-01,3.0,3.0,3.0,0.0,1.0,4,0.0,no
443,NA,Couple Leisure,Yes,Economy Class,Honolulu to Denpasar via Manila,2022-10-01,3.0,1.0,1.0,4.0,1.0,4,0.0,no
444,NA,Solo Leisure,Yes,Economy Class,Los Angeles to Melbourne via Manila,2022-10-01,2.0,4.0,3.0,2.0,1.0,3,1.0,no
445,NA,Solo Leisure,Yes,Economy Class,Del Carme Siago to Denpasar via Manila,2022-10-01,5.0,5.0,0.0,0.0,2.0,2,0.0,no
446,NA,Couple Leisure,Yes,Economy Class,Manila to Tagbilaran ,2022-10-01,4.0,4.0,1.0,0.0,3.0,1,0.0,no
447,Boeing 777,Couple Leisure,No,Economy Class,Los Angeles to Manila,2022-09-01,1.0,3.0,1.0,1.0,2.0,1,1.0,no
448,Boeing 777,Solo Leisure,Yes,Business Class,Vancouver to Bangkok via Manila,2022-10-01,2.0,4.0,3.0,1.0,1.0,2,1.0,no
449,NA,Couple Leisure,Yes,Economy Class,Manila to Vancouver,2022-09-01,2.0,3.0,3.0,1.0,3.0,2,3.0,no
450,NA,Couple Leisure,Yes,Economy Class,Vancouver to Manila,2019-12-01,1.0,1.0,1.0,0.0,1.0,1,0.0,no
451,A321-200 Neo,Business,Yes,Economy Class,Manila to Nagoya,2020-02-01,5.0,4.0,3.0,5.0,5.0,4,0.0,yes
452,NA,Solo Leisure,Yes,Economy Class,Manila to London,2020-02-01,4.0,5.0,5.0,5.0,5.0,5,0.0,yes
453,NA,Solo Leisure,Yes,Economy Class,Tokyo to Bali via Manila,2020-02-01,2.0,3.0,3.0,0.0,1.0,2,0.0,no
454,A322,Solo Leisure,Yes,Premium Economy,NA,2020-02-01,4.0,5.0,5.0,1.0,5.0,5,0.0,yes
455,A321,Family Leisure,Yes,Economy Class,Manila to Tokyo Narita,2020-01-01,4.0,5.0,4.0,2.0,3.0,4,0.0,yes
456,NA,Solo Leisure,Yes,Economy Class,Manila to Dammam,2019-07-01,1.0,1.0,1.0,0.0,1.0,1,0.0,no
457,A350-900,Solo Leisure,Yes,Business Class,Manila to Toronto,2019-08-01,5.0,5.0,5.0,5.0,4.0,5,5.0,yes
458,NA,Solo Leisure,Yes,Economy Class,Auckland to Osaka via Manila,2020-01-01,0.0,0.0,0.0,0.0,1.0,1,0.0,no
459,NA,Solo Leisure,Yes,Business Class,Manila to Melbourne,2022-11-01,0.0,0.0,0.0,0.0,1.0,1,0.0,no
460,A321 / A330,Couple Leisure,Yes,Business Class,Singapore to Melbourne via Manila,2022-10-01,2.0,3.0,2.0,2.0,1.0,3,0.0,no
461,NA,Couple Leisure,Yes,Economy Class,Los Angeles to Manila,2022-04-01,0.0,0.0,0.0,0.0,0.0,3,0.0,no
462,NA,Solo Leisure,No,Economy Class,Manila to San Francisco,2022-11-01,1.0,1.0,1.0,1.0,1.0,1,1.0,no
463,NA,Family Leisure,Yes,Economy Class,Canada to Philippines,2022-11-01,3.0,3.0,3.0,3.0,1.0,1,3.0,no
464,NA,Couple Leisure,Yes,Economy Class,Hanoi to Manila,2022-11-01,4.0,4.0,4.0,0.0,4.0,2,0.0,no
465,NA,Solo Leisure,Yes,Economy Class,Manila via Los Angeles,2022-11-01,3.0,3.0,2.0,3.0,1.0,3,0.0,no
466,NA,Business,Yes,Economy Class,Manila to Los Angeles,2022-10-01,2.0,1.0,1.0,1.0,4.0,1,1.0,no
467,NA,Solo Leisure,Yes,Economy Class,Davao to San Francisco via Manila,2022-11-01,3.0,3.0,1.0,0.0,1.0,3,0.0,no
468,NA,Solo Leisure,Yes,Economy Class,Singapore to Melbourne via Manila,2022-09-01,0.0,0.0,0.0,0.0,1.0,1,0.0,no
469,NA,Solo Leisure,Yes,Economy Class,Puerto Princesa to Cebu,2022-09-01,0.0,0.0,0.0,0.0,2.0,2,0.0,no
470,NA,Couple Leisure,No,Economy Class,Dubai to Melbourne via Manila,2022-09-01,1.0,2.0,2.0,1.0,1.0,1,1.0,no
471,NA,Couple Leisure,Yes,Economy Class,Manila to Los Angeles,2022-04-01,1.0,2.0,1.0,1.0,1.0,1,2.0,no
472,Boeing 777,Solo Leisure,Yes,Economy Class,Manila to Los Angeles ,2022-09-01,3.0,3.0,4.0,3.0,1.0,1,0.0,no
473,NA,Solo Leisure,Yes,Economy Class,Ho chi Minh City to Los Angeles via Manila,2022-09-01,1.0,1.0,1.0,5.0,1.0,1,1.0,no
474,NA,Family Leisure,Yes,Economy Class,Kuala Lumpur to Caticlan via Manila,2022-09-01,1.0,2.0,0.0,0.0,1.0,1,0.0,no
475,NA,Solo Leisure,Yes,Economy Class,Phnomh Pen to San Francisco via Manila,2022-09-01,3.0,5.0,2.0,3.0,1.0,2,3.0,no
476,NA,Solo Leisure,No,Economy Class,Sydney to Los Angeles via Manila,2022-08-01,1.0,2.0,1.0,0.0,1.0,1,0.0,no
477,NA,Solo Leisure,Yes,Business Class,Bangkok to Manila,2022-05-01,2.0,5.0,4.0,1.0,1.0,1,1.0,no
478,NA,Family Leisure,Yes,Economy Class,Bangkok to San Francisco via Manila,2022-04-01,1.0,2.0,2.0,2.0,1.0,2,1.0,no
479,NA,Solo Leisure,Yes,Economy Class,Ho Chi Minh City to San Francisco via Manila,2022-05-01,1.0,1.0,1.0,1.0,1.0,1,1.0,no
480,A330,Solo Leisure,Yes,Economy Class,Riyadh to Manila,2022-04-01,4.0,5.0,4.0,0.0,5.0,5,0.0,yes
481,NA,Solo Leisure,Yes,Economy Class,Dubai to Manila,2021-05-01,0.0,0.0,0.0,0.0,0.0,1,0.0,no
482,NA,Family Leisure,Yes,Economy Class,Sydney to Manila,2021-05-01,0.0,0.0,0.0,0.0,0.0,1,0.0,no
483,NA,Family Leisure,Yes,Economy Class,Manila to Fukuoka,2020-03-01,0.0,0.0,0.0,0.0,0.0,1,0.0,no
484,A321,Solo Leisure,No,Economy Class,Singapore to Manila,2022-03-01,1.0,3.0,2.0,0.0,1.0,1,0.0,no
485,NA,Family Leisure,Yes,Economy Class,Brisbane to Manila,2022-03-01,0.0,0.0,0.0,0.0,0.0,3,0.0,no
486,A330,Business,Yes,Economy Class,Sydney to Hong Kong via Manila,2022-11-01,4.0,5.0,4.0,5.0,5.0,5,2.0,yes
487,NA,Family Leisure,No,Economy Class,Manila to Dubai,2022-10-01,3.0,3.0,3.0,0.0,1.0,4,0.0,no
488,NA,Couple Leisure,Yes,Economy Class,Honolulu to Denpasar via Manila,2022-10-01,3.0,1.0,1.0,4.0,1.0,4,0.0,no
489,NA,Solo Leisure,Yes,Economy Class,Los Angeles to Melbourne via Manila,2022-10-01,2.0,4.0,3.0,2.0,1.0,3,1.0,no
490,NA,Solo Leisure,Yes,Economy Class,Del Carme Siago to Denpasar via Manila,2022-10-01,5.0,5.0,0.0,0.0,2.0,2,0.0,no
491,NA,Couple Leisure,Yes,Economy Class,Manila to Tagbilaran ,2022-10-01,4.0,4.0,1.0,0.0,3.0,1,0.0,no
492,Boeing 777,Couple Leisure,No,Economy Class,Los Angeles to Manila,2022-09-01,1.0,3.0,1.0,1.0,2.0,1,1.0,no
493,Boeing 777,Solo Leisure,Yes,Business Class,Vancouver to Bangkok via Manila,2022-10-01,2.0,4.0,3.0,1.0,1.0,2,1.0,no
494,NA,Couple Leisure,Yes,Economy Class,Manila to Vancouver,2022-09-01,2.0,3.0,3.0,1.0,3.0,2,3.0,no
495,NA,Family Leisure,No,Business Class,Bangkok to Los Angeles via Manila,2022-08-01,2.0,2.0,1.0,1.0,1.0,1,1.0,no
496,NA,Solo Leisure,Yes,Economy Class,San Francisco to Manila,2022-08-01,1.0,1.0,0.0,0.0,1.0,1,0.0,no
497,NA,Family Leisure,Yes,Economy Class,Los Angeles to Manila,2022-08-01,1.0,1.0,1.0,1.0,2.0,1,1.0,no
498,A321,Business,Yes,Economy Class,Manila to Jakarta,2022-05-01,4.0,5.0,5.0,4.0,2.0,5,0.0,yes
499,NA,Solo Leisure,Yes,Economy Class,Manilla to Laoag International Airport,2022-07-01,4.0,5.0,4.0,0.0,3.0,5,0.0,yes
500,NA,Solo Leisure,Yes,Economy Class,Melbourne to Cebu via Manila,2022-07-01,2.0,4.0,3.0,3.0,2.0,2,1.0,no
501,Boeing 777,Solo Leisure,Yes,Economy Class,Los Angeles to Cebu via Manila,2022-04-01,3.0,4.0,3.0,3.0,1.0,1,3.0,no
502,NA,Solo Leisure,No,Economy Class,Sydney to Jakarta via Manila,2022-07-01,1.0,1.0,0.0,0.0,1.0,1,0.0,no
503,Boeing 777-200ER,Couple Leisure,Yes,Business Class,Manila to Los Angeles,2022-07-01,2.0,4.0,4.0,2.0,1.0,1,1.0,no
504,NA,Solo Leisure,No,Economy Class,Cebu to Clark,2019-12-01,0.0,0.0,0.0,0.0,1.0,1,0.0,no
505,NA,Family Leisure,Yes,Economy Class,Manila to Cebu,2019-12-01,0.0,0.0,0.0,0.0,1.0,1,0.0,no
506,Boeing 777,Couple Leisure,Yes,Economy Class,Vancouver to Manila,2019-11-01,5.0,5.0,5.0,5.0,5.0,5,0.0,yes
507,NA,Couple Leisure,Yes,Economy Class,Dubai to Manila,2019-11-01,1.0,1.0,0.0,0.0,1.0,1,0.0,no
508,Boeing 777,Couple Leisure,Yes,Business Class,Manila to San Francisco,2019-11-01,5.0,5.0,5.0,4.0,4.0,4,4.0,yes
509,A320,Solo Leisure,No,Economy Class,Dumaguete to Manila,2019-11-01,2.0,3.0,2.0,0.0,2.0,2,0.0,no
510,NA,Couple Leisure,Yes,Economy Class,Manila to Melbourne ,2019-09-01,3.0,4.0,3.0,4.0,3.0,4,0.0,yes
511,NA,Solo Leisure,Yes,Economy Class,Honolulu to Manila,2019-11-01,3.0,1.0,1.0,3.0,3.0,2,3.0,no
512,NA,Business,Yes,Economy Class,Bangkok to Manila,2019-10-01,4.0,4.0,3.0,5.0,5.0,5,0.0,yes
513,NA,Couple Leisure,Yes,Economy Class,Vancouver to Manila,2019-12-01,1.0,1.0,1.0,0.0,1.0,1,0.0,no
514,A321-200 Neo,Business,Yes,Economy Class,Manila to Nagoya,2020-02-01,5.0,4.0,3.0,5.0,5.0,4,0.0,yes
515,NA,Solo Leisure,Yes,Economy Class,Manila to London,2020-02-01,4.0,5.0,5.0,5.0,5.0,5,0.0,yes
516,NA,Solo Leisure,Yes,Economy Class,Tokyo to Bali via Manila,2020-02-01,2.0,3.0,3.0,0.0,1.0,2,0.0,no
517,A322,Solo Leisure,Yes,Premium Economy,NA,2020-02-01,4.0,5.0,5.0,1.0,5.0,5,0.0,yes
518,A321,Family Leisure,Yes,Economy Class,Manila to Tokyo Narita,2020-01-01,4.0,5.0,4.0,2.0,3.0,4,0.0,yes
519,NA,Solo Leisure,Yes,Economy Class,Manila to Dammam,2019-07-01,1.0,1.0,1.0,0.0,1.0,1,0.0,no
520,A350-900,Solo Leisure,Yes,Business Class,Manila to Toronto,2019-08-01,5.0,5.0,5.0,5.0,4.0,5,5.0,yes
521,NA,Solo Leisure,Yes,Economy Class,Auckland to Osaka via Manila,2020-01-01,0.0,0.0,0.0,0.0,1.0,1,0.0,no
522,NA,Family Leisure,Yes,Economy Class,Sydney to Manila,2021-12-01,0.0,0.0,0.0,0.0,0.0,1,0.0,no
523,NA,Family Leisure,Yes,Economy Class,Toronto to Manila via Vancouver,2021-12-01,3.0,4.0,3.0,4.0,2.0,1,0.0,no
524,NA,Couple Leisure,Yes,Economy Class,London to Manila,2020-05-01,0.0,0.0,0.0,0.0,0.0,1,0.0,no
525,NA,Solo Leisure,Yes,Business Class,Melbourne to Manila,2020-09-01,0.0,0.0,0.0,0.0,0.0,1,0.0,no
526,NA,Family Leisure,No,Economy Class,Toronto to Kuala Lumpur via Manila,2020-09-01,0.0,0.0,0.0,0.0,0.0,1,0.0,no
527,NA,Solo Leisure,Yes,Economy Class,Vancouver to Manila,2020-07-01,4.0,4.0,0.0,0.0,3.0,1,0.0,no
528,NA,Solo Leisure,Yes,Economy Class,Dammam to Manila,2020-11-01,3.0,3.0,3.0,3.0,3.0,3,3.0,no
529,NA,Solo Leisure,Yes,Economy Class,Manila to Brisbane,2020-12-01,4.0,5.0,4.0,0.0,5.0,5,0.0,yes
530,NA,Solo Leisure,Yes,Economy Class,Tokyo Narita to Cebu,2021-05-01,0.0,0.0,0.0,0.0,0.0,1,0.0,no
531,A321neo,Family Leisure,Yes,Economy Class,Melbourne to Manila,2022-05-01,4.0,2.0,2.0,3.0,5.0,4,2.0,yes
532,A321,Business,Yes,Economy Class,Jakarta to Manila,2022-06-01,1.0,4.0,2.0,1.0,2.0,1,1.0,no
533,NA,Business,Yes,Economy Class,Manila to Ho Chi Minh City,2021-11-01,3.0,5.0,2.0,2.0,1.0,1,1.0,no
534,A320,Solo Leisure,Yes,Economy Class,Manila to Panglao,2022-05-01,4.0,5.0,3.0,0.0,5.0,5,0.0,yes
535,NA,Couple Leisure,Yes,Business Class,Los Angeles to Australia via Manila,2022-05-01,5.0,5.0,5.0,3.0,1.0,3,1.0,no
536,NA,Business,No,First Class,Los Angeles to Hong Kong via Manila,2022-05-01,3.0,1.0,1.0,1.0,2.0,2,2.0,no
537,Boeing 777 / A330 ,Family Leisure,No,Economy Class,Chicago to Manila,2022-04-01,2.0,3.0,3.0,3.0,1.0,2,0.0,no
538,DHC-8 Dash 8,Solo Leisure,Yes,Economy Class,Legazpi to Manila,2022-05-01,5.0,5.0,4.0,0.0,5.0,5,0.0,yes
539,A320,Family Leisure,Yes,Economy Class,Manila to Caticlan (Boracay),2022-05-01,4.0,4.0,3.0,0.0,5.0,5,0.0,yes
540,NA,Solo Leisure,Yes,Business Class,Manila to Melbourne,2022-11-01,0.0,0.0,0.0,0.0,1.0,1,0.0,no
541,A321 / A330,Couple Leisure,Yes,Business Class,Singapore to Melbourne via Manila,2022-10-01,2.0,3.0,2.0,2.0,1.0,3,0.0,no
542,NA,Couple Leisure,Yes,Economy Class,Los Angeles to Manila,2022-04-01,0.0,0.0,0.0,0.0,0.0,3,0.0,no
543,NA,Solo Leisure,No,Economy Class,Manila to San Francisco,2022-11-01,1.0,1.0,1.0,1.0,1.0,1,1.0,no
544,NA,Family Leisure,Yes,Economy Class,Canada to Philippines,2022-11-01,3.0,3.0,3.0,3.0,1.0,1,3.0,no
545,NA,Couple Leisure,Yes,Economy Class,Hanoi to Manila,2022-11-01,4.0,4.0,4.0,0.0,4.0,2,0.0,no
546,NA,Solo Leisure,Yes,Economy Class,Manila via Los Angeles,2022-11-01,3.0,3.0,2.0,3.0,1.0,3,0.0,no
547,NA,Business,Yes,Economy Class,Manila to Los Angeles,2022-10-01,2.0,1.0,1.0,1.0,4.0,1,1.0,no
548,NA,Solo Leisure,Yes,Economy Class,Davao to San Francisco via Manila,2022-11-01,3.0,3.0,1.0,0.0,1.0,3,0.0,no
549,NA,Solo Leisure,Yes,Economy Class,Singapore to Melbourne via Manila,2022-09-01,0.0,0.0,0.0,0.0,1.0,1,0.0,no
550,NA,Solo Leisure,Yes,Economy Class,Puerto Princesa to Cebu,2022-09-01,0.0,0.0,0.0,0.0,2.0,2,0.0,no
551,NA,Couple Leisure,No,Economy Class,Dubai to Melbourne via Manila,2022-09-01,1.0,2.0,2.0,1.0,1.0,1,1.0,no
552,NA,Couple Leisure,Yes,Economy Class,Manila to Los Angeles,2022-04-01,1.0,2.0,1.0,1.0,1.0,1,2.0,no
553,Boeing 777,Solo Leisure,Yes,Economy Class,Manila to Los Angeles ,2022-09-01,3.0,3.0,4.0,3.0,1.0,1,0.0,no
554,NA,Solo Leisure,Yes,Economy Class,Ho chi Minh City to Los Angeles via Manila,2022-09-01,1.0,1.0,1.0,5.0,1.0,1,1.0,no
555,NA,Family Leisure,Yes,Economy Class,Kuala Lumpur to Caticlan via Manila,2022-09-01,1.0,2.0,0.0,0.0,1.0,1,0.0,no
556,NA,Solo Leisure,Yes,Economy Class,Phnomh Pen to San Francisco via Manila,2022-09-01,3.0,5.0,2.0,3.0,1.0,2,3.0,no
557,NA,Solo Leisure,No,Economy Class,Sydney to Los Angeles via Manila,2022-08-01,1.0,2.0,1.0,0.0,1.0,1,0.0,no
558,NA,Solo Leisure,Yes,Business Class,Bangkok to Manila,2022-05-01,2.0,5.0,4.0,1.0,1.0,1,1.0,no
559,NA,Family Leisure,Yes,Economy Class,Bangkok to San Francisco via Manila,2022-04-01,1.0,2.0,2.0,2.0,1.0,2,1.0,no
560,NA,Solo Leisure,Yes,Economy Class,Ho Chi Minh City to San Francisco via Manila,2022-05-01,1.0,1.0,1.0,1.0,1.0,1,1.0,no
561,A330,Solo Leisure,Yes,Economy Class,Riyadh to Manila,2022-04-01,4.0,5.0,4.0,0.0,5.0,5,0.0,yes
562,NA,Solo Leisure,Yes,Economy Class,Dubai to Manila,2021-05-01,0.0,0.0,0.0,0.0,0.0,1,0.0,no
563,NA,Family Leisure,Yes,Economy Class,Sydney to Manila,2021-05-01,0.0,0.0,0.0,0.0,0.0,1,0.0,no
564,NA,Family Leisure,Yes,Economy Class,Manila to Fukuoka,2020-03-01,0.0,0.0,0.0,0.0,0.0,1,0.0,no
565,A321,Solo Leisure,No,Economy Class,Singapore to Manila,2022-03-01,1.0,3.0,2.0,0.0,1.0,1,0.0,no
566,NA,Family Leisure,Yes,Economy Class,Brisbane to Manila,2022-03-01,0.0,0.0,0.0,0.0,0.0,3,0.0,no
567,A330,Business,Yes,Economy Class,Sydney to Hong Kong via Manila,2022-11-01,4.0,5.0,4.0,5.0,5.0,5,2.0,yes
568,NA,Family Leisure,No,Economy Class,Manila to Dubai,2022-10-01,3.0,3.0,3.0,0.0,1.0,4,0.0,no
569,NA,Couple Leisure,Yes,Economy Class,Honolulu to Denpasar via Manila,2022-10-01,3.0,1.0,1.0,4.0,1.0,4,0.0,no
570,NA,Solo Leisure,Yes,Economy Class,Los Angeles to Melbourne via Manila,2022-10-01,2.0,4.0,3.0,2.0,1.0,3,1.0,no
571,NA,Solo Leisure,Yes,Economy Class,Del Carme Siago to Denpasar via Manila,2022-10-01,5.0,5.0,0.0,0.0,2.0,2,0.0,no
572,NA,Couple Leisure,Yes,Economy Class,Manila to Tagbilaran ,2022-10-01,4.0,4.0,1.0,0.0,3.0,1,0.0,no
573,Boeing 777,Couple Leisure,No,Economy Class,Los Angeles to Manila,2022-09-01,1.0,3.0,1.0,1.0,2.0,1,1.0,no
574,Boeing 777,Solo Leisure,Yes,Business Class,Vancouver to Bangkok via Manila,2022-10-01,2.0,4.0,3.0,1.0,1.0,2,1.0,no
575,NA,Couple Leisure,Yes,Economy Class,Manila to Vancouver,2022-09-01,2.0,3.0,3.0,1.0,3.0,2,3.0,no
576,NA,Family Leisure,No,Business Class,Bangkok to Los Angeles via Manila,2022-08-01,2.0,2.0,1.0,1.0,1.0,1,1.0,no
577,NA,Solo Leisure,Yes,Economy Class,San Francisco to Manila,2022-08-01,1.0,1.0,0.0,0.0,1.0,1,0.0,no
578,NA,Family Leisure,Yes,Economy Class,Los Angeles to Manila,2022-08-01,1.0,1.0,1.0,1.0,2.0,1,1.0,no
579,A321,Business,Yes,Economy Class,Manila to Jakarta,2022-05-01,4.0,5.0,5.0,4.0,2.0,5,0.0,yes
580,NA,Solo Leisure,Yes,Economy Class,Manilla to Laoag International Airport,2022-07-01,4.0,5.0,4.0,0.0,3.0,5,0.0,yes
581,NA,Solo Leisure,Yes,Economy Class,Melbourne to Cebu via Manila,2022-07-01,2.0,4.0,3.0,3.0,2.0,2,1.0,no
582,Boeing 777,Solo Leisure,Yes,Economy Class,Los Angeles to Cebu via Manila,2022-04-01,3.0,4.0,3.0,3.0,1.0,1,3.0,no
583,NA,Solo Leisure,No,Economy Class,Sydney to Jakarta via Manila,2022-07-01,1.0,1.0,0.0,0.0,1.0,1,0.0,no
584,Boeing 777-200ER,Couple Leisure,Yes,Business Class,Manila to Los Angeles,2022-07-01,2.0,4.0,4.0,2.0,1.0,1,1.0,no
585,NA,Solo Leisure,No,Economy Class,Cebu to Clark,2019-12-01,0.0,0.0,0.0,0.0,1.0,1,0.0,no
586,NA,Family Leisure,Yes,Economy Class,Manila to Cebu,2019-12-01,0.0,0.0,0.0,0.0,1.0,1,0.0,no
587,Boeing 777,Couple Leisure,Yes,Economy Class,Vancouver to Manila,2019-11-01,5.0,5.0,5.0,5.0,5.0,5,0.0,yes
588,NA,Couple Leisure,Yes,Economy Class,Dubai to Manila,2019-11-01,1.0,1.0,0.0,0.0,1.0,1,0.0,no
589,Boeing 777,Couple Leisure,Yes,Business Class,Manila to San Francisco,2019-11-01,5.0,5.0,5.0,4.0,4.0,4,4.0,yes
590,A320,Solo Leisure,No,Economy Class,Dumaguete to Manila,2019-11-01,2.0,3.0,2.0,0.0,2.0,2,0.0,no
591,NA,Couple Leisure,Yes,Economy Class,Manila to Melbourne ,2019-09-01,3.0,4.0,3.0,4.0,3.0,4,0.0,yes
592,NA,Solo Leisure,Yes,Economy Class,Honolulu to Manila,2019-11-01,3.0,1.0,1.0,3.0,3.0,2,3.0,no
593,NA,Business,Yes,Economy Class,Bangkok to Manila,2019-10-01,4.0,4.0,3.0,5.0,5.0,5,0.0,yes
594,NA,Couple Leisure,Yes,Economy Class,Vancouver to Manila,2019-12-01,1.0,1.0,1.0,0.0,1.0,1,0.0,no
595,A321-200 Neo,Business,Yes,Economy Class,Manila to Nagoya,2020-02-01,5.0,4.0,3.0,5.0,5.0,4,0.0,yes
596,NA,Solo Leisure,Yes,Economy Class,Manila to London,2020-02-01,4.0,5.0,5.0,5.0,5.0,5,0.0,yes
597,NA,Solo Leisure,Yes,Economy Class,Tokyo to Bali via Manila,2020-02-01,2.0,3.0,3.0,0.0,1.0,2,0.0,no
